Produkt,Marke,cat_fruit,cat_vegetables,cat_dairy,cat_meat,cat_grains,cat_non_food,tag_high_protein,tag_low_calorie,diet_vegetarian,diet_vegan
Clementinen,Keine Marke,1,0,0,0,0,0,0,1,1,1
Blumenkohl,Keine Marke,0,1,0,0,0,0,0,1,1,1
EDEKA Herzstücke Apeel Riesenorangen,Keine Marke,1,0,0,0,0,0,0,1,1,1
Gut & Günstig Eisbergsalat,Keine Marke,0,1,0,0,0,0,0,1,1,1
San Lucar Cherryrispentomaten,Keine Marke,0,1,0,0,0,0,0,1,1,1
EDEKA Herzstücke Mini-Rispentomaten,Keine Marke,0,1,0,0,0,0,0,1,1,1
EDEKA Herzstücke Mini Pflaumentomaten,Keine Marke,0,1,0,0,0,0,0,1,1,1
Spargel weiß,Keine Marke,0,1,0,0,0,0,0,1,1,1
Tafeltrauben rot kernlos,Keine Marke,1,0,0,0,0,0,0,1,1,1
EDEKA Bio WWF Salate,Keine Marke,0,1,0,0,0,0,0,1,1,1
Avocado "Hass",Keine Marke,1,0,0,0,0,0,0,0,1,1
Suppengrün,Keine Marke,0,1,0,0,0,0,0,1,1,1
EDEKA Heimatliebe Fränkischer Knollensellerie,Keine Marke,0,1,0,0,0,0,0,1,1,1
Rosenkohl,Keine Marke,0,1,0,0,0,0,0,1,1,1
Gut & Günstig WWF Bananen,Keine Marke,1,0,0,0,0,0,0,1,1,1
2 Netze EDEKA Herzstücke Speisekartoffeln,Keine Marke,0,1,0,0,1,0,0,0,1,1
Meggle Butter,Keine Marke,0,0,1,0,0,0,0,0,1,0
Leerdammer Käse,Keine Marke,0,0,1,0,0,0,0,0,1,0
Philadelphia Frischkäse oder -zubereitung,Keine Marke,0,0,1,0,0,0,0,0,1,0
